Event,Date,Location,Latitude,Longitude,sample_top,sample_bottom,Comment,absolute_salinity(g/kg),Salinity (psu),Cond(microS/cm),Temperature,sample_id,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.24,0.21,AC,0,,,18.1,dO18_0258,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.21,0.18,S14,0,,,18,dO18_0259,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.18,0.15,KL,0,,,18.1,dO18_0260,
PS122/2_23-9,03/02/2020,snow1-A1,87.408453,93.196676,0.15,0.12,S7,0,,,17.8,dO18_0261,
PS122/2_24-112,15/02/2020,L1,88.068118,79.762696,0.05,0,S11,0,,,20.9,dO18_0350,
PS122/2_24-112,15/02/2020,L1,88.068118,79.762696,0.27,0.24,S10,0,,,20.5,dO18_0353,
PS122/2_24-113,15/02/2020,L2,88.068343,79.780367,0.03,0,S16,3.6,,,20.5,dO18_0351,
PS122/2_24-113,15/02/2020,L2,88.068343,79.780367,0.11,0.08,S4,0.1,,,20.8,dO18_0352,
PS122/2_24-14,10/02/2020,snow3-A6,87.777867,92.017269,0.09,0.06,S20,0.9,,,15.3,dO18_0292,
PS122/2_24-14,10/02/2020,snow3-A6,87.777867,92.017269,0.06,0.03,AB,8,,,15.3,dO18_0293,
PS122/2_24-14,10/02/2020,snow3-A6,87.777867,92.017269,0.03,0,S3,16.9,,,15.4,dO18_0294,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.15,0.12,S11,0.1,,,15.5,dO18_0287,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.12,0.09,S15,0,,,15.3,dO18_0288,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.09,0.06,S10,0,,,15.3,dO18_0289,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.06,0.03,S19,0,,,15.4,dO18_0290,
PS122/2_24-15,10/02/2020,snow2-A8,87.7858,91.806571,0.03,0,S18,0.6,,,15.4,dO18_0291,
PS122/2_24-35,12/02/2020,snow2-A10,87.861033,88.024284,0.56,0.53,VA,0,,,20.5,dO18_0072,not taken as dO18 sample
PS122/2_24-35,12/02/2020,snow2-A10,87.861033,88.024284,0.26,0.23,KL,0.1,,,20.7,dO18_0077,not taken as dO18 sample
PS122/2_24-35,12/02/2020,snow2-A10,87.861033,88.024284,0.05,0.02,S3,1.5,,,20.7,dO18_0081,not taken as dO18 sample
PS122/2_24-81,15/02/2020,RS3,88.068786,79.810557,0.11,0.14,S15,0,,,20.8,dO18_0073,not taken as dO18 sample
PS122/2_24-81,15/02/2020,RS3,88.068786,79.810557,0.02,0.05,M,0.1,,,20.8,dO18_0078,not taken as dO18 sample
PS122/2_24-81,15/02/2020,RS3,88.068786,79.810557,0,0.02,S2,2.4,,,20.6,dO18_0083,not taken as dO18 sample
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.16,0.13,S20,0,,,20.5,dO18_0345,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.13,0.1,S7,0,,,20.6,dO18_0346,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.1,0.07,S18,0,,,20.4,dO18_0347,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.07,0.04,S1,9,,,20,dO18_0348,
PS122/2_24-86,16/02/2020,snow1-A3,88.066823,79.750064,0.04,0.01,AB,12.2,,,20.6,dO18_0349,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.12,0.09,S19,0.1,,,20.2,dO18_0341,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.09,0.06,S9,0,,,20.6,dO18_0342,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.06,0.03,S13,0,,,20.3,dO18_0343,
PS122/2_25-22,17/02/2020,snow2-A2,88.072472,79.234834,0.03,0,B,0,,,20.1,dO18_0344,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.21,0.18,RR,0.1,,,20.3,dO18_0334,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.18,0.15,S8,0,,,20.4,dO18_0335,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.15,0.12,S12,0,,,20.5,dO18_0336,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.12,0.09,S14,0,,,20.1,dO18_0337,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.09,0.06,AC,0.2,,,20.2,dO18_0338,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.06,0.03,S21(Tuper),1.6,,,20.2,dO18_0339,
PS122/2_25-23,17/02/2020,snow1-A1,88.07308,78.970063,0.03,0,AA,3.9,,,20.5,dO18_0340,
PS122/2_25-59,20/02/2020,RS3,88.382455,68.840467,0.095,0.08,S4,0,,,18,dO18_0074,not taken as dO18 sample
PS122/2_25-59,20/02/2020,RS3,88.382455,68.840467,0.02,0,S11,1.5,,,17.9,dO18_0082,not taken as dO18 sample
PS122/2_25-80,21/02/2020,snow1-A5,88.478687,66.945536,0.08,0.05,S3,0.1,,,17.7,dO18_0354,
PS122/2_25-80,21/02/2020,snow1-A5,88.478687,66.945536,0.05,0.02,S19,1.1,,,17.7,dO18_0355,
PS122/2_25-80,21/02/2020,snow1-A5,88.478687,66.945536,0.03,0,B,13.6,,,17.6,dO18_0356,
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.4,0.37,S8,0,,,18.3,dO18_0075,not taken as dO18 sample
PS122/2_25-81,21/02/2020,FR,88.499097,66.505657,0.2,0.17,S15,0,,,17.8,dO18_0076,not taken as dO18 sample
